Country,Country Code,Exporter Degree,Importer Degree,Eigenvector Centrality In,Eigenvector Centrality Out,Closeness Centrality,Degree Centrality
Central African Republic,140,649,4301,0.003067709226873498,0.0030370468080452486,0.5813953488372093,4950
Saint Vincent and the Grenadines,670,904,4043,0.0029057763778466503,0.0024044253072531656,0.5754475703324808,4947
Guam,316,454,4493,0.0025715163005654105,0.0020283408601099746,0.5653266331658291,4947
Tonga,776,406,4537,0.0016984827891597877,0.0018149816377118566,0.5408653846153846,4943
Dominica,212,812,3895,0.003138492573717064,0.0036043453655874857,0.5844155844155844,4707
Sao Tome and Principe,678,564,4125,0.0022835029924537435,0.0022653896040726188,0.5555555555555556,4689
Cook Islands,184,432,4209,0.002244206730243111,0.002164239387617114,0.5555555555555556,4641
Bhutan,64,437,4194,0.002295507613293154,0.0023838289068602264,0.556930693069307,4631
Burundi,108,398,4161,0.002719760268190163,0.0027503886596860093,0.569620253164557,4559
Comoros,174,499,3999,0.002648225114780108,0.003119974486580336,0.5681818181818182,4498
Saint Kitts and Nevis,659,525,3951,0.0028437318019603206,0.0029289262856145907,0.5739795918367347,4476
Guinea-Bissau,624,131,4083,0.0027583560662174625,0.0017343969805206066,0.5710659898477157,4214
Turks and Caicos Islands,796,605,3335,0.001959466447361071,0.0028814825368986357,0.5474452554744526,3940
Kiribati,296,299,3551,0.0018085152532089136,0.0019118545073933458,0.5434782608695652,3850
Eritrea,232,309,3227,0.0026490587503452488,0.002544025137323047,0.569620253164557,3536
Saint Barthélemy,652,447,2836,0.0011788709346717986,0.001442219719927074,0.5269320843091335,3283
Palau,585,121,2907,0.0020704963938944897,0.0016429655578519906,0.5501222493887531,3028
South Sudan,728,149,2746,0.0021936131324950116,0.001600013985304012,0.5541871921182266,2895
Saint Pierre and Miquelon,666,183,2676,0.0010319369463427435,0.001232890537557503,0.5232558139534884,2859
Saint Helena,654,436,2041,0.001363396734601049,0.0026343313302133165,0.5319148936170213,2477
Nauru,520,792,1667,0.0012143806549255517,0.0024641940378749864,0.528169014084507,2459
Federated State of Micronesia,583,101,2324,0.0015255722220343432,0.001323654024171987,0.5357142857142857,2425
American Samoa,16,755,1663,0.0019052043992767614,0.0027655186083769662,0.5447941888619855,2418
Saint Eustatius and Saba,535,120,2259,0.0013672983419933424,0.0006604281052577602,0.5319148936170213,2379
Northern Mariana Islands,580,130,1851,0.0019269303006328488,0.0016842951468704719,0.5461165048543689,1981
Wallis and Futuna Islands,876,158,1676,0.0015658262460095246,0.0015536070216374868,0.5369928400954654,1834
Anguilla,660,435,1377,0.002045921513304834,0.00249488985864288,0.5501222493887531,1812
Tuvalu,798,217,1575,0.00136260393600863,0.001905195735669517,0.5319148936170213,1792
Tokelau,772,1480,293,0.0011315983562259924,0.00290326814605273,0.5269320843091335,1773
Falkland Islands (Malvinas),238,252,1483,0.0016028363261738794,0.0020222142792133127,0.5382775119617225,1735
Niue,570,382,1245,0.000887233546994844,0.0020952726926643486,0.5208333333333334,1627
Christmas Islands,162,424,893,0.0006762748319739134,0.0022860707166412167,0.5160550458715596,1317
Norfolk Islands,574,87,1225,0.0008651644718282369,0.0011865444973628947,0.5196304849884527,1312
Montserrat,500,347,556,0.0015674060400742134,0.0021686549628764417,0.5369928400954654,903
British Indian Ocean Territories,86,238,609,0.0010085041963049863,0.00206561465035648,0.5232558139534884,847
French South Antarctic Territories,260,111,691,0.00147100168924366,0.0010594403383310164,0.5344418052256532,802
Cocos Islands,166,368,425,0.000809087256992332,0.0024407012565660366,0.5184331797235023,793
Pitcairn,612,179,140,0.00084755289816283,0.0018825111464624768,0.5196304849884527,319
